match_id,date,venue,innings,team,opp,batter,runs,balls,fours,sixes,team_score,outs,SR,avg_runs,sr,avg_balls,avg_venue_runs,avg_opp_runs,avg_4s,avg_6s,boundary_pct,avg_out
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,Azmatullah Omarzai,1,2,0,0,143,1,50,11.4,106.182,8.6,16.5,18,1.2,0.6,0.146060606,0.8
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,JP Inglis,39,23,1,4,46,1,169.57,35.4,171.446,20.2,38,15.66666667,3.6,2.2,0.267192228,1
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,KA Jamieson,0,2,0,0,146,0,0,7.6,80.372,8.2,16,0,0.4,0.4,0.067132867,0.2
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,MP Stoinis,6,2,0,1,142,1,300,17.6,165.204,9.2,10.8,14.5,1.2,1.4,0.198128655,0.4
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,N Wadhera,15,20,0,1,80,1,75,28.8,124.806,19.2,30.66666667,15.33333333,2.2,1.4,0.125263731,0.8
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,P Simran Singh,26,22,0,2,6,1,118.18,17.2,138.696,12.6,13,19,2.2,0.8,0.242777778,1
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,Priyansh Arya,24,20,4,0,4,1,120,20.8,139.228,13.8,33.5,15,2.8,0.6,0.208030888,1
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,SS Iyer,1,2,0,0,73,1,50,39.6,139.636,24.4,80.66666667,20.8,3.2,2.4,0.17719888,0.6
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",2,RCB,RCB,Shashank Singh,61,30,3,6,98,0,203.33,21.6,121.916,13.6,35.66666667,18.6,1.8,0.8,0.107308378,0.6
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,B Kumar,1,2,0,0,189,1,50,2.6,53.974,4.8,13.5,4.5,0.2,0,0.015384615,0.4
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,JM Sharma,24,11,2,2,132,1,218.18,29.4,156.39,15.8,16,6.5,2.8,1.8,0.23374183,0.4
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,KH Pandya,4,5,0,0,172,1,80,21,106.462,16,0,12.83333333,1.8,0.8,0.154512472,0.8
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,LS Livingstone,25,20,0,2,97,1,125,12.4,53.668,11.2,0,14.5,0.4,1,0.063333333,1
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,MA Agarwal,24,19,2,1,18,1,126.32,18.4,122.372,13.8,48.66666667,20,2.2,0.2,0.166494852,0.8
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,PD Salt,16,10,2,1,1,1,160,35,136.996,21.6,0,30.5,4,1.6,0.214765738,0.8
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,R Shepherd,17,9,1,1,168,1,188.89,11.2,100.666,4.4,0,13.5,0.8,1.2,0.133333333,0.6
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,RM Patidar,26,16,1,2,57,1,162.5,12.8,133.75,10.6,38.5,25.71428571,1,0.4,0.16547619,0.6
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,V Kohli,43,36,3,0,14,1,119.44,44.4,145.082,30.2,31.4,43.5,5.6,1.2,0.233105193,1.2
1473511,03-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,Yash Dayal,1,1,0,0,190,0,100,1,16.66666667,2.666666667,0,0,0,0,0,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,HH Pandya,15,13,1,1,142,1,115.38,20,122.32,12.6,22.36363636,16.14285714,1.6,1.2,0.153058824,0.6
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,JM Bairstow,38,27,3,2,1,1,140.74,28.2,137.886,19.6,22,63,3.4,1,0.213455564,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,MJ Santner,0,1,0,0,198,0,0,2.2,80,2,6.333333333,7,0,0.2,0.05,0.2
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,Naman Dhir,37,18,7,0,143,1,205.56,17,171.51,10,19,20,1,1.4,0.243443223,0.6
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,RA Bawa,8,4,0,0,187,0,200,5.5,42.31,7,0,0,0.5,0,0.038461538,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,RG Sharma,8,7,1,0,0,1,114.29,34,119.418,24.6,15.25,29,4.4,1,0.191735605,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,SA Yadav,44,26,4,3,71,1,169.23,49.2,163.262,30.6,44,47.71428571,4.6,2.4,0.229258029,0.6
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",1,PBKS,PBKS,Tilak Varma,44,30,2,2,21,1,146.67,13.2,111.24,11.2,27.25,20,0.4,0.8,0.108831169,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,JP Inglis,38,21,5,2,13,1,180.95,29,155.256,17.2,0,73,2.8,1.8,0.233858895,0.8
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,MP Stoinis,2,2,0,0,174,0,100,18.6,215.204,9.2,13,24.28571429,1.2,1.6,0.298128655,0.4
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,N Wadhera,48,31,4,2,72,1,154.84,22.4,125.838,15,22,2,1.8,1.2,0.146554054,0.8
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,P Simran Singh,6,9,1,0,5,1,66.67,26,161.076,16.4,14.75,12,3.4,0.8,0.270555556,0.8
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,Priyansh Arya,20,10,2,1,1,1,200,30.8,139.228,18.8,47,62,3.4,1.6,0.210888031,1
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,SS Iyer,87,42,5,8,55,0,207.14,31.2,131.542,21.4,77.5,21.78947368,3,1.2,0.159738562,0.8
1473510,01-06-2025,"Narendra Modi Stadium, Ahmedabad",2,MI,MI,Shashank Singh,2,3,0,0,157,1,66.67,25.8,146.916,15.4,52.5,41,2,1.2,0.157308378,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,B Sai Sudharsan,80,50,10,1,1,1,160,44.6,148.618,27.4,0,34,6.4,0.8,0.256932596,0.8
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,BKG Mendis,20,11,1,2,3,1,181.82,0,0,0,0,0,0,0,0,0
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,M Shahrukh Khan,13,7,0,1,195,1,185.71,18.6,194.644,10.8,0,10,1.4,1.2,0.315172414,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,R Tewatia,16,12,1,1,171,0,133.33,8.4,153.834,5.6,0,12,0.4,0.4,0.161666667,0.8
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,Rashid Khan,0,2,0,0,208,0,0,4.4,100,3.8,0,8.5,0.2,0.2,0.044444444,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,SE Rutherford,24,15,4,0,151,1,160,26.2,111.506,20.2,0,23,1.4,1.6,0.134126984,1
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,Shubman Gill,1,2,0,0,2,1,50,52,151.05,34.8,0,37.21428571,4.8,2.2,0.222309437,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,MI,MI,Washington Sundar,48,25,5,3,67,1,192,17,94.5,12.2,0,6.125,1,0.8,0.080040568,1
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GT,GT,HH Pandya,22,12,0,3,187,0,183.33,16.6,99.94,11.6,0,7.666666667,1.6,0.6,0.103058824,0.8
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GT,GT,JM Bairstow,47,22,4,3,3,1,213.64,40.4,140.158,24.8,0,10.33333333,4.2,2.2,0.220652534,1
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GT,GT,MJ Santner,0,2,0,0,206,0,0,5.8,120,3.4,0,5,0.2,0.6,0.116666667,0.2
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GT,GT,Naman Dhir,9,7,0,1,195,1,128.57,15.2,145.796,9.2,0,15,1,1.2,0.214871795,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GT,GT,RG Sharma,81,50,9,4,1,1,162,20.2,127.018,15.8,0,20,2.6,0.6,0.206402272,1
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GL,GT,SA Yadav,33,20,1,3,85,1,165,53.4,167.504,32.4,0,47.16666667,5.2,2.6,0.244430443,0.6
1473509,30-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,GL,GT,Tilak Varma,25,11,0,3,145,1,227.27,8.6,85.786,9.4,0,22.83333333,0.4,0.2,0.054285714,0.8
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,Azmatullah Omarzai,18,12,1,1,61,1,150,10.4,102.182,8.2,13,0,1,0.6,0.132727273,0.8
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,Harpreet Brar,4,11,0,0,78,1,36.36,15.4,179.86,10.6,13.75,2,1.6,0.6,0.234965035,0.4
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,JP Inglis,4,7,0,0,10,1,57.14,30.4,180.494,17,15.5,21.5,3.2,1.8,0.300525561,0.6
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,KA Jamieson,0,3,0,0,97,0,0,9.8,135.372,8.4,0,0,0.6,0.6,0.167132867,0.2
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,MP Stoinis,26,18,2,2,38,1,144.44,20.2,248.134,7.8,2,10.66666667,1,2,0.344593301,0.2
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,Musheer Khan,0,3,0,0,60,1,0,0,0,0,0,0,0,0,0,0
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,N Wadhera,8,10,1,0,30,1,80,21.8,143.172,13.6,21.5,19,1.8,1.2,0.193220721,0.8
1473508,29-05-2025,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,RCB,RCB,P Simran Singh,18,10,2,1,7,1,180,40.6,162.992,24,17.22222222,19.25,4.2,2,0.264722222,0.8
