match_id,date,venue,innings,team,opp,batter,runs,balls,fours,sixes,team_score,outs,SR
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,158,77,10,13,1,0,205.19
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,DJ Hussey,12,12,1,0,125,1,100.0
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammad Hafeez,5,3,1,0,173,0,166.67
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,20,20,1,1,61,1,100.0
335982,2008-04-18,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,10,12,2,0,1,1,83.33
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,AA Noffke,9,12,1,0,38,1,75.0
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,B Akhil,0,2,0,0,38,1,0.0
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,6,10,0,0,24,1,60.0
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,8,7,0,1,10,1,114.29
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,7,11,1,0,24,1,63.64
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,P Kumar,18,17,1,2,44,0,105.88
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,2,3,0,0,1,1,66.67
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,SB Joshi,3,8,0,0,71,1,37.5
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,1,5,0,0,4,1,20.0
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,6,18,0,0,2,1,33.33
335982,2008-04-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,Z Khan,3,8,0,0,57,1,37.5
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,JDP Oram,13,11,0,1,130,1,118.18
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,MEK Hussey,116,54,8,9,27,0,214.81
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,ML Hayden,25,17,4,1,1,1,147.06
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,MS Dhoni,2,3,0,0,58,1,66.67
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,PA Patel,15,11,3,0,0,1,136.36
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,S Badrinath,31,14,3,2,167,0,221.43
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,SK Raina,32,14,2,3,63,1,228.57
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,IK Pathan,3,5,0,0,191,0,60.0
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,JR Hopes,71,34,10,3,5,1,208.82
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,K Goel,24,20,2,1,4,1,120.0
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,KC Sangakkara,54,35,5,2,64,1,154.29
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,SM Katich,21,17,0,1,159,0,123.53
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,23,13,1,2,113,1,176.92
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,D Salunkhe,26,20,4,0,75,0,130.0
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,DS Lehmann,1,2,0,0,46,1,50.0
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,M Kaif,9,19,0,0,31,1,47.37
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,M Rawat,2,4,0,0,58,1,50.0
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,RA Jadeja,29,24,2,2,47,1,120.83
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,SK Trivedi,3,7,0,0,110,0,42.86
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,SK Warne,14,13,2,0,93,1,107.69
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,SR Watson,21,15,4,0,17,1,140.0
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,T Kohli,7,13,0,1,0,1,53.85
335984,2008-04-19,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,YK Pathan,10,5,2,0,8,1,200.0
335984,2008-04-19,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,G Gambhir,58,49,7,1,0,0,118.37
335984,2008-04-19,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,S Dhawan,52,44,8,0,20,0,118.18
335984,2008-04-19,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,V Sehwag,12,4,3,0,12,1,300.0
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,AM Nayar,20,15,1,1,98,1,133.33
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,DJ Thornely,0,6,0,0,13,1,0.0
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,Harbhajan Singh,2,2,0,0,159,0,100.0
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,L Ronchi,8,10,2,0,0,1,80.0
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,PR Shah,19,23,2,0,47,1,82.61
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,48,38,5,1,22,1,126.32
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,SM Pollock,28,12,3,2,129,1,233.33
335985,2008-04-20,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,29,17,5,1,9,1,170.59
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,B Akhil,3,6,0,0,163,0,50.0
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,JH Kallis,25,24,0,1,69,1,104.17
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,LRPL Taylor,23,13,1,2,38,1,176.92
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,39,20,4,2,106,0,195.0
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,R Dravid,32,33,4,0,1,1,96.97
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,S Chanderpaul,16,12,3,0,0,1,133.33
335985,2008-04-20,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,V Kohli,23,15,3,1,77,1,153.33
335986,2008-04-20,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,A Symonds,32,41,2,2,23,1,78.05
