match_id,date,venue,innings,opp,team,bowler,balls,runs,wkts,overs,econ,avg_wkts,avg_eco,avg_runs_given,avg_venue_wkts,avg_opp_wkts
548341,2012-04-26,Subrata Roy Sahara Stadium,2,Deccan Chargers,Pune Warriors,A Ashish Reddy,24,32,2,4.0,8.0,0.0,0.0,0.0,0.0,0.0
548346,2012-04-29,Wankhede Stadium,2,Deccan Chargers,Mumbai Indians,A Ashish Reddy,14,11,1,2.33,4.72,2.0,8.0,32.0,0.0,2.0
548348,2012-05-01,Barabati Stadium,2,Deccan Chargers,Pune Warriors,A Ashish Reddy,19,32,1,3.17,10.09,1.5,6.359999999999999,21.5,0.0,1.5
548352,2012-05-04,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,A Ashish Reddy,13,16,1,2.17,7.37,1.3333333333333333,7.603333333333333,25.0,0.0,1.3333333333333333
548356,2012-05-06,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,A Ashish Reddy,25,36,1,4.17,8.63,1.25,7.545,22.75,0.0,1.25
548359,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,A Ashish Reddy,25,39,2,4.17,9.35,1.2,7.7620000000000005,25.4,0.0,1.2
548329,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Delhi Daredevils,A Ashish Reddy,12,29,0,2.0,14.5,1.2,8.032,26.8,2.0,1.2
548373,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,A Ashish Reddy,12,17,0,2.0,8.5,1.0,9.988,30.4,1.0,1.0
548376,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Royal Challengers Bangalore,A Ashish Reddy,25,25,3,4.17,6.0,0.8,9.669999999999998,27.4,0.6666666666666666,0.8
598000,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,12,21,1,2.0,10.5,1.2,9.395999999999999,29.2,1.25,0.0
598004,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,6,7,1,1.0,7.0,1.2,9.77,26.2,1.2,1.0
598048,2013-04-09,M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,6,12,0,1.0,12.0,1.0,9.3,19.8,1.0,1.0
598013,2013-04-14,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,A Ashish Reddy,12,15,1,2.0,7.5,1.0,8.8,16.4,0.0,0.6666666666666666
598030,2013-04-25,"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,A Ashish Reddy,5,15,0,0.83,18.07,1.2,8.6,16.0,1.0,0.75
